day,open,close
1,2.370000,2.390000
2,2.380000,2.390000
3,2.390000,2.370000
4,2.370000,2.410000
5,2.410000,2.380000
6,2.380000,2.380000
7,2.380000,2.380000
8,2.400000,2.380000
9,2.390000,2.380000
10,2.380000,2.380000
11,2.390000,2.440000
12,2.440000,2.440000
13,2.430000,2.400000
14,2.400000,2.390000
15,2.400000,2.400000
16,2.400000,2.390000
17,2.400000,2.400000
18,2.400000,2.410000
19,2.420000,2.430000
20,2.440000,2.430000
21,2.410000,2.400000
22,2.420000,2.430000
23,2.440000,2.420000
24,2.420000,2.440000
25,2.440000,2.440000
26,2.440000,2.460000
27,2.450000,2.460000
28,2.460000,2.460000
29,2.450000,2.450000
30,2.450000,2.440000
31,2.440000,2.410000
32,2.410000,2.410000
33,2.410000,2.410000
34,2.430000,2.450000
35,2.450000,2.460000
36,2.460000,2.450000
37,2.430000,2.430000
38,2.420000,2.410000
39,2.410000,2.410000
40,2.440000,2.430000
41,2.450000,2.460000
42,2.460000,2.440000
43,2.450000,2.440000
44,2.450000,2.440000
45,2.440000,2.430000
46,2.450000,2.430000
47,2.430000,2.420000
48,2.420000,2.410000
49,2.430000,2.430000
50,2.440000,2.430000
51,2.440000,2.430000
52,2.440000,2.450000
53,2.440000,2.450000
54,2.460000,2.440000
55,2.460000,2.450000
56,2.460000,2.460000
57,2.460000,2.450000
58,2.460000,2.480000
59,2.490000,2.490000
60,2.490000,2.530000
61,2.530000,2.500000
62,2.510000,2.510000
63,2.500000,2.520000
64,2.550000,2.530000
65,2.540000,2.510000
66,2.510000,2.510000
67,2.540000,2.530000
68,2.530000,2.570000
69,2.550000,2.530000
70,2.550000,2.560000
71,2.560000,2.580000
72,2.580000,2.580000
73,2.560000,2.540000
74,2.550000,2.580000
75,2.580000,2.560000
76,2.560000,2.550000
77,2.550000,2.550000
78,2.540000,2.530000
79,2.550000,2.600000
80,2.590000,2.590000
81,2.590000,2.570000
82,2.570000,2.560000
83,2.550000,2.520000
84,2.520000,2.530000
85,2.540000,2.570000
86,2.560000,2.520000
87,2.530000,2.550000
88,2.550000,2.570000
89,2.570000,2.570000
90,2.580000,2.560000
91,2.570000,2.550000
92,2.560000,2.590000
93,2.590000,2.580000
94,2.580000,2.590000
95,2.590000,2.570000
96,2.570000,2.580000
97,2.590000,2.580000
98,2.590000,2.580000
99,2.580000,2.600000
100,2.600000,2.580000
101,2.590000,2.610000
102,2.610000,2.610000
103,2.620000,2.620000
104,2.620000,2.610000
105,2.610000,2.620000
106,2.620000,2.610000
107,2.620000,2.600000
108,2.610000,2.620000
109,2.630000,2.600000
110,2.610000,2.630000
111,2.650000,2.680000
112,2.700000,2.680000
113,2.680000,2.630000
114,2.640000,2.650000
115,2.660000,2.660000
116,2.660000,2.650000
117,2.650000,2.640000
118,2.640000,2.610000
119,2.600000,2.600000
120,2.610000,2.630000
121,2.620000,2.640000
122,2.620000,2.630000
123,2.640000,2.690000
124,2.680000,2.680000
125,2.680000,2.650000
126,2.660000,2.640000
127,2.640000,2.660000
128,2.660000,2.620000
129,2.620000,2.620000
130,2.610000,2.600000
131,2.620000,2.670000
132,2.660000,2.670000
133,2.670000,2.670000
134,2.650000,2.660000
135,2.660000,2.660000
136,2.660000,2.680000
137,2.680000,2.680000
138,2.680000,2.670000
139,2.670000,2.660000
140,2.660000,2.670000
141,2.680000,2.760000
142,2.750000,2.790000
143,2.780000,2.800000
144,2.800000,2.740000
145,2.700000,2.710000
146,2.710000,2.700000
147,2.700000,2.710000
148,2.710000,2.720000
149,2.720000,2.740000
150,2.770000,2.710000
151,2.710000,2.690000
152,2.690000,2.660000
153,2.660000,2.660000
154,2.680000,2.720000
155,2.730000,2.730000
156,2.730000,2.690000
157,2.690000,2.700000
158,2.700000,2.700000
159,2.700000,2.690000
160,2.690000,2.700000
161,2.710000,2.700000
162,2.690000,2.700000
163,2.690000,2.690000
164,2.690000,2.700000
165,2.700000,2.700000
166,2.690000,2.690000
167,2.700000,2.690000
168,2.710000,2.700000
169,2.700000,2.670000
170,2.670000,2.680000
171,2.680000,2.680000
172,2.680000,2.650000
173,2.650000,2.650000
174,2.650000,2.680000
175,2.670000,2.720000
176,2.720000,2.670000
177,2.670000,2.720000
178,2.710000,2.700000
179,2.700000,2.680000
180,2.690000,2.690000
181,2.690000,2.650000
182,2.640000,2.650000
183,2.670000,2.650000
184,2.650000,2.660000
185,2.660000,2.650000
186,2.650000,2.650000
187,2.650000,2.700000
188,2.710000,2.720000
189,2.720000,2.710000
190,2.710000,2.700000
191,2.700000,2.710000
192,2.710000,2.680000
193,2.690000,2.700000
194,2.700000,2.720000
195,2.710000,2.700000
196,2.710000,2.720000
197,2.710000,2.740000
198,2.750000,2.740000
199,2.760000,2.760000
200,2.760000,2.800000
201,2.800000,2.790000
202,2.790000,2.830000
203,2.830000,2.780000
204,2.790000,2.830000
205,2.830000,2.840000
206,2.830000,2.830000
207,2.830000,2.810000
208,2.810000,2.850000
209,2.860000,2.880000
210,2.890000,2.900000
211,2.900000,2.900000
212,2.900000,2.880000
213,2.890000,2.880000
214,2.880000,2.890000
215,2.900000,2.860000
216,2.860000,2.890000
217,2.890000,2.910000
218,2.910000,2.900000
219,2.860000,2.800000
220,2.800000,2.800000
221,2.810000,2.830000
222,2.830000,2.840000
223,2.840000,2.790000
224,2.790000,2.810000
225,2.820000,2.830000
226,2.840000,2.840000
227,2.850000,2.860000
228,2.860000,2.840000
229,2.880000,2.860000
230,2.850000,2.900000
231,2.900000,2.910000
232,2.900000,2.890000
233,2.890000,2.880000
234,2.870000,2.830000
235,2.830000,2.850000
236,2.870000,2.870000
237,2.860000,2.890000
238,2.880000,2.880000
239,2.890000,2.850000
240,2.840000,2.890000
241,2.890000,2.920000
242,2.930000,2.910000
243,2.920000,2.950000
244,2.950000,2.900000
245,2.890000,2.890000
246,2.890000,2.900000
247,2.910000,2.950000
248,2.930000,2.990000
249,2.980000,2.990000
250,2.990000,2.990000
251,2.990000,2.980000
252,2.990000,2.980000
253,2.980000,2.980000
254,2.990000,2.980000
255,2.980000,2.980000
256,2.970000,2.960000
257,2.960000,2.950000
258,2.950000,2.950000
259,2.940000,2.990000
260,3.000000,2.930000
261,2.930000,2.940000
262,2.940000,2.930000
263,2.940000,2.970000
264,2.970000,3.000000
265,3.010000,2.990000
266,3.000000,3.000000
267,3.000000,3.000000
268,3.000000,2.970000
269,2.980000,2.970000
270,2.970000,2.970000
271,2.970000,3.000000
272,3.000000,3.020000
273,3.000000,3.030000
274,2.990000,2.870000
275,2.850000,2.790000
276,2.760000,2.770000
277,2.790000,2.790000
278,2.820000,2.810000
279,2.800000,2.740000
280,2.760000,2.790000
281,2.790000,2.800000
282,2.800000,2.850000
283,2.850000,2.830000
284,2.830000,2.880000
285,2.900000,2.840000
286,2.830000,2.790000
287,2.790000,2.750000
288,2.770000,2.780000
289,2.790000,2.790000
290,2.800000,2.810000
291,2.800000,2.820000
292,2.820000,2.790000
293,2.800000,2.810000
294,2.810000,2.810000
295,2.820000,2.780000
296,2.780000,2.780000
297,2.790000,2.840000
298,2.870000,2.860000
299,2.850000,2.860000
