Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,2.37,2.43,2.36,2.39,1.928368,457200
1/4/2017,2.38,2.39,2.37,2.39,1.928368,615800
1/5/2017,2.39,2.4,2.36,2.37,1.912231,776100
1/6/2017,2.37,2.43,2.37,2.41,1.944505,943700
1/9/2017,2.41,2.41,2.37,2.38,1.9203,961500
1/10/2017,2.38,2.39,2.37,2.38,1.9203,845600
1/11/2017,2.38,2.41,2.38,2.38,1.9203,774000
1/12/2017,2.4,2.4,2.37,2.38,1.9203,446300
1/13/2017,2.39,2.39,2.37,2.38,1.9203,408400
1/16/2017,2.38,2.39,2.38,2.38,1.9203,147600
1/17/2017,2.39,2.45,2.38,2.44,1.96871,903300
1/18/2017,2.44,2.45,2.41,2.44,1.96871,288900
1/19/2017,2.43,2.43,2.39,2.4,1.936437,5547100
1/20/2017,2.4,2.41,2.39,2.39,1.928368,398900
1/23/2017,2.4,2.42,2.39,2.4,1.936437,419800
1/24/2017,2.4,2.41,2.39,2.39,1.928368,252553
1/25/2017,2.4,2.43,2.4,2.4,1.936437,331100
1/26/2017,2.4,2.42,2.4,2.41,1.944505,363800
1/27/2017,2.42,2.45,2.41,2.43,1.960642,301000
1/31/2017,2.44,2.44,2.42,2.43,1.960642,540800
2/1/2017,2.41,2.42,2.38,2.4,1.961132,1023500
2/2/2017,2.42,2.45,2.4,2.43,1.985646,883200
2/3/2017,2.44,2.44,2.41,2.42,1.977475,449400
2/6/2017,2.42,2.44,2.42,2.44,1.993818,246500
2/7/2017,2.44,2.48,2.44,2.44,1.993818,1263100
2/8/2017,2.44,2.47,2.44,2.46,2.010161,206900
2/9/2017,2.45,2.5,2.45,2.46,2.010161,616900
2/10/2017,2.46,2.47,2.45,2.46,2.010161,774700
2/13/2017,2.45,2.46,2.45,2.45,2.001989,293100
2/14/2017,2.45,2.46,2.41,2.44,1.993818,488900
2/15/2017,2.44,2.44,2.39,2.41,1.969304,952300
2/16/2017,2.41,2.42,2.38,2.41,1.969304,1202500
2/17/2017,2.41,2.44,2.39,2.41,1.969304,614200
2/20/2017,2.43,2.47,2.43,2.45,2.001989,774200
2/21/2017,2.45,2.48,2.44,2.46,2.010161,990100
2/22/2017,2.46,2.47,2.43,2.45,2.001989,562100
2/23/2017,2.43,2.44,2.42,2.43,1.985646,721700
2/24/2017,2.42,2.44,2.39,2.41,1.969304,1322800
2/27/2017,2.41,2.43,2.4,2.41,1.969304,804500
2/28/2017,2.44,2.45,2.42,2.43,1.985646,1180200
3/1/2017,2.45,2.48,2.43,2.46,2.010161,1359700
3/2/2017,2.46,2.47,2.44,2.44,1.993818,331100
3/3/2017,2.45,2.46,2.44,2.44,1.993818,132600
3/6/2017,2.45,2.46,2.42,2.44,1.993818,326500
3/7/2017,2.44,2.48,2.43,2.43,1.985646,332600
3/8/2017,2.45,2.45,2.42,2.43,1.985646,140000
3/9/2017,2.43,2.44,2.41,2.42,1.977475,314500
3/10/2017,2.42,2.43,2.41,2.41,1.969304,280700
3/13/2017,2.43,2.43,2.41,2.43,1.985646,424500
3/14/2017,2.44,2.46,2.42,2.43,1.985646,356500
3/15/2017,2.44,2.45,2.43,2.43,1.985646,205100
3/16/2017,2.44,2.48,2.44,2.45,2.001989,1590700
3/17/2017,2.44,2.46,2.43,2.45,2.001989,620400
3/20/2017,2.46,2.47,2.44,2.44,1.993818,284500
3/21/2017,2.46,2.49,2.44,2.45,2.001989,541100
3/22/2017,2.46,2.48,2.45,2.46,2.010161,1717900
3/23/2017,2.46,2.47,2.44,2.45,2.001989,140800
3/24/2017,2.46,2.53,2.46,2.48,2.026504,1942300
3/27/2017,2.49,2.5,2.46,2.49,2.034675,1558700
3/28/2017,2.49,2.55,2.48,2.53,2.06736,3080300
3/29/2017,2.53,2.55,2.5,2.5,2.042846,5129000
3/30/2017,2.51,2.52,2.5,2.51,2.051018,543000
3/31/2017,2.5,2.54,2.5,2.52,2.059189,250800
4/3/2017,2.55,2.55,2.52,2.53,2.06736,328500
4/4/2017,2.54,2.54,2.51,2.51,2.051018,303500
4/5/2017,2.51,2.53,2.51,2.51,2.051018,434800
4/6/2017,2.54,2.55,2.52,2.53,2.06736,292900
4/7/2017,2.53,2.57,2.52,2.57,2.100046,502900
4/10/2017,2.55,2.57,2.53,2.53,2.06736,3251300
4/11/2017,2.55,2.57,2.53,2.56,2.091874,807600
4/12/2017,2.56,2.58,2.53,2.58,2.108217,459300
4/13/2017,2.58,2.6,2.53,2.58,2.108217,717900
4/17/2017,2.56,2.56,2.53,2.54,2.075532,168900
4/18/2017,2.55,2.58,2.55,2.58,2.108217,473000
4/19/2017,2.58,2.58,2.54,2.56,2.091874,412800
4/20/2017,2.56,2.57,2.55,2.55,2.083703,911300
4/21/2017,2.55,2.55,2.54,2.55,2.083703,657600
4/24/2017,2.54,2.57,2.53,2.53,2.06736,1363700
4/25/2017,2.55,2.6,2.54,2.6,2.124559,1115100
4/26/2017,2.59,2.6,2.58,2.59,2.116389,760300
4/27/2017,2.59,2.6,2.57,2.57,2.100046,493900
4/28/2017,2.57,2.58,2.56,2.56,2.091874,489900
5/2/2017,2.55,2.55,2.51,2.52,2.085915,569900
5/3/2017,2.52,2.56,2.52,2.53,2.094192,369600
5/4/2017,2.54,2.58,2.54,2.57,2.127302,397400
5/5/2017,2.56,2.56,2.52,2.52,2.085915,486700
5/8/2017,2.53,2.55,2.52,2.55,2.110747,827600
5/9/2017,2.55,2.61,2.55,2.57,2.127302,611600
5/11/2017,2.57,2.6,2.56,2.57,2.127302,741900
5/12/2017,2.58,2.59,2.56,2.56,2.119025,594100
5/15/2017,2.57,2.58,2.55,2.55,2.110747,603600
5/16/2017,2.56,2.59,2.55,2.59,2.143857,389500
5/17/2017,2.59,2.59,2.57,2.58,2.13558,340500
5/18/2017,2.58,2.59,2.57,2.59,2.143857,436200
5/19/2017,2.59,2.59,2.56,2.57,2.127302,146900
5/22/2017,2.57,2.59,2.57,2.58,2.13558,405800
5/23/2017,2.59,2.59,2.57,2.58,2.13558,684000
5/24/2017,2.59,2.59,2.57,2.58,2.13558,744900
5/25/2017,2.58,2.6,2.58,2.6,2.152134,1271500
5/26/2017,2.6,2.61,2.58,2.58,2.13558,619000
5/29/2017,2.59,2.62,2.58,2.61,2.160412,592200
5/30/2017,2.61,2.62,2.6,2.61,2.160412,184400
5/31/2017,2.62,2.62,2.61,2.62,2.168689,210800
6/1/2017,2.62,2.62,2.61,2.61,2.160412,276100
6/2/2017,2.61,2.62,2.61,2.62,2.168689,618100
6/5/2017,2.62,2.64,2.61,2.61,2.160412,706700
6/6/2017,2.62,2.62,2.6,2.6,2.152134,156500
6/7/2017,2.61,2.69,2.6,2.62,2.168689,1146600
6/8/2017,2.63,2.63,2.6,2.6,2.152134,568200
6/9/2017,2.61,2.65,2.61,2.63,2.176967,743700
6/12/2017,2.65,2.69,2.62,2.68,2.218354,1114400
6/13/2017,2.7,2.71,2.67,2.68,2.218354,291200
6/14/2017,2.68,2.69,2.63,2.63,2.176967,490200
6/15/2017,2.64,2.66,2.63,2.65,2.193521,323200
6/16/2017,2.66,2.68,2.65,2.66,2.201799,368100
6/19/2017,2.66,2.67,2.63,2.65,2.193521,170600
6/20/2017,2.65,2.66,2.64,2.64,2.185244,834900
6/21/2017,2.64,2.64,2.59,2.61,2.160412,533100
6/22/2017,2.6,2.63,2.6,2.6,2.152134,508100
6/23/2017,2.61,2.64,2.6,2.63,2.176967,286400
6/27/2017,2.62,2.67,2.61,2.64,2.185244,552700
6/28/2017,2.62,2.66,2.62,2.63,2.176967,236300
6/29/2017,2.64,2.69,2.64,2.69,2.226631,740400
6/30/2017,2.68,2.69,2.66,2.68,2.218354,417500
7/3/2017,2.68,2.69,2.65,2.65,2.193521,502300
7/4/2017,2.66,2.66,2.63,2.64,2.185244,466100
7/5/2017,2.64,2.66,2.63,2.66,2.201799,528100
7/6/2017,2.66,2.66,2.62,2.62,2.168689,664400
7/7/2017,2.62,2.64,2.6,2.62,2.168689,723200
7/10/2017,2.61,2.63,2.6,2.6,2.152134,670300
7/11/2017,2.62,2.67,2.6,2.67,2.210077,558600
7/12/2017,2.66,2.68,2.64,2.67,2.210077,346100
7/13/2017,2.67,2.69,2.66,2.67,2.210077,692500
7/14/2017,2.65,2.66,2.64,2.66,2.201799,409100
7/17/2017,2.66,2.69,2.65,2.66,2.201799,529700
7/18/2017,2.66,2.68,2.64,2.68,2.218354,410700
7/19/2017,2.68,2.69,2.66,2.68,2.218354,808800
7/20/2017,2.68,2.7,2.67,2.67,2.210077,1695900
7/21/2017,2.67,2.68,2.64,2.66,2.201799,662700
7/24/2017,2.66,2.68,2.63,2.67,2.210077,584800
7/25/2017,2.68,2.76,2.68,2.76,2.284574,2240900
7/26/2017,2.75,2.79,2.69,2.79,2.309406,866100
7/27/2017,2.78,2.82,2.77,2.8,2.317683,323700
7/28/2017,2.8,2.81,2.73,2.74,2.268018,649500
7/31/2017,2.7,2.75,2.7,2.71,2.26852,929200
8/1/2017,2.71,2.73,2.68,2.7,2.260149,1174000
8/2/2017,2.7,2.72,2.66,2.71,2.26852,810200
8/3/2017,2.71,2.73,2.69,2.72,2.276892,231300
8/4/2017,2.72,2.78,2.72,2.74,2.293634,1533900
8/7/2017,2.77,2.77,2.7,2.71,2.26852,406200
